sample_id,group,read1,read2
12A,VD,FASTQ/12A_S9_L001_R1_001.fastq.gz,FASTQ/12A_S9_L001_R2_001.fastq.gz
13A,CS,FASTQ/13A_S11_L001_R1_001.fastq.gz,FASTQ/13A_S11_L001_R2_001.fastq.gz
1A,CS,FASTQ/1A_S1_L001_R1_001.fastq.gz,FASTQ/1A_S1_L001_R2_001.fastq.gz
20A,VD,FASTQ/20A_S13_L001_R1_001.fastq.gz,FASTQ/20A_S13_L001_R2_001.fastq.gz
21A,VD,FASTQ/21A_S15_L001_R1_001.fastq.gz,FASTQ/21A_S15_L001_R2_001.fastq.gz
22A,VD,FASTQ/22A_S17_L001_R1_001.fastq.gz,FASTQ/22A_S17_L001_R2_001.fastq.gz
23A,VD,FASTQ/23A_S19_L001_R1_001.fastq.gz,FASTQ/23A_S19_L001_R2_001.fastq.gz
25A,CS,FASTQ/25A_S21_L001_R1_001.fastq.gz,FASTQ/25A_S21_L001_R2_001.fastq.gz
26A,VD,FASTQ/26A_S23_L001_R1_001.fastq.gz,FASTQ/26A_S23_L001_R2_001.fastq.gz
2A,CS,FASTQ/2A_S3_L001_R1_001.fastq.gz,FASTQ/2A_S3_L001_R2_001.fastq.gz
3A,VD,FASTQ/3A_S5_L001_R1_001.fastq.gz,FASTQ/3A_S5_L001_R2_001.fastq.gz
5A,CS,FASTQ/5A_S7_L001_R1_001.fastq.gz,FASTQ/5A_S7_L001_R2_001.fastq.gz
